Unnamed: 0,pairs,loss,sen_sim
0,"(""Manti Te'o was having a relationship via telephone/internet with a man pretending to be female."", ""Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal."")",0.2510879039764404,-0.8719891309738159
1,"('The little girl is not going to win because i am the king, soshe needs to stop what she is doing', ""The little girl ain't gonna win 'cause I'm the king, so she better quit what she's doin'."")",0.0336967967450618,-0.7761366963386536
2,"(""He is upstairs rights now and I'm down here getting ready. It’s aboutto go down. Nite nite."", ""He's up there in the bedroom right now, and I'm down here fixin' myself up. It's about to get started. Goodnight."")",-0.0229335278272628,-0.8719891309738159
3,"(""Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out"", ""Shit, I is who I is. I'm done makin' apologies. I'm doin' it for Shaq and my kiddos, that's my attitude this year. If you don't like it, get on out."")",-0.0008217402501031,-0.8719891309738159
4,"('It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost', ""It's real rare for me to git what I want, but now that I got it, I ain't gonna give it up, no matter the cost."")",0.2181015312671661,-0.7761366963386536
5,"('A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them', ""Hey y'all, real quick, give it up for Nestboy Vick! He's a rapper and he's darn good at it. Keep puttin' out them tracks, Vick, 'cause I sure do wanna hear 'em!"")",-0.0106943780556321,-0.7761366963386536
6,"('Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks', 'Miami Heat player LeBron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. But Boston Celtics player Kevin Garnett had 24 points, 11 rebounds, 4 assists, 2 steals, and 3 blocks.')",-0.0202509425580501,-0.7761366963386536
7,"(""You can say anything you want to, I don't care, noone else can have you"", ""You can say whatever the hell you please, I don't give a damn, nobody else can have you."")",-0.0160424690693616,-0.8719891309738159
8,"(""At 3:05, when the bell rings, I'm saying bye to my significant other and running out of PSM. By 3:45, I should be homeThen it's time to part"", ""At 3:05, when that ol' bell rings, I'm hollerin' goodbye to my sweetheart and scootin' on outta PSM. By 3:45, I reckon I'll be home then, an' it's time for us to part ways."")",0.2111746519804,-0.8719891309738159
9,"(""When you call a person's phone and they don't answer that means they never cared about it.Cared about it"", ""When you give a person a call on their phone and they don't pick up, that means they never gave a hoot 'bout it.Hoot 'bout it"")",0.0953972339630127,-0.8719891309738159
10,"('I do not want to see twerking videos on my timeline because thesepeople do not know how to twerk', ""I don't wanna see no twerkin' vids on my timeline 'cause them folks don't know how to twerk proper."")",0.2083057016134262,-0.7761366963386536
11,"(""That was supposed to be a tweet but, that was funny.   I don't know how the hell I done thatto you, my bad, it was funny though"", ""That was gonna be a tweet but, that there was funny. I don't know how in tarnation I did that to you, my apologies, it was funny though."")",-0.003060735296458,-0.8719891309738159
12,"('This group of five-year-olds just tried to holler at me! That’s funny. When I told them how oldI was, they scattered. I’m laughing!', ""This here group of five-year-olds done tried to hit on me! Ain't that somethin'? When I told 'em my age, they took off like a herd of cats. I'm just sittin' here laughin' about it!"")",0.0240824725478887,-0.7761366963386536
13,"('Does anyone else have a TV that makes every movie look very fake? These TV’s are made too well. Mine is like that.', ""Y'all got one them TV's that makes every movie seem real fake? Them TV's is made too good. Mine's the same way."")",0.1017252430319786,-0.7761366963386536
14,"(""Who made Amy's dress for the finale, the red one at the end. Please, tell me.the end. Please, tell me"", ""Who made that there red dress of Amy's for the finales? I do declare, please tell me. The end. Please, tell me."")",0.0682496130466461,-0.8719891309738159
15,"('Old people are gross. This friend has just kissed a stripperlike she was his wife', ""Old folks can be real nasty business. Now this here friend of yours, he went and planted one on some lady lookin' like a stripper, actin' like she was his lawfully wedded spouse."")",-0.1777972728013992,-0.7761366963386536
16,"('That kid is GOOD. I saw him versus NYR. I’ll tell you, as a Ranger fan I’m not too excited about seeing himfor the next ten years.', ""That youngun is real GOOD. I seen him play against them NY Rangers. Now lemme tell ya, as a Rangers fan, I ain't too thrilled 'bout seein' him for the next ten years."")",0.1086166426539421,-0.7761366963386536
17,"('My only wish is that my friend Keith was here to kill things. I have been down and depressedabout everything lately', ""My one and only hope is that my buddy Keith was here with me to take out some critters. I've been feelin' low and blue about every little thing goin' on recently."")",0.0994288027286529,-0.7761366963386536
18,"('I just want to fuck your best friend for one night only, and when I fuck your best friend, youbetter not fuck my friend', ""I jus' wanna fuck your best buddy one time, jus' for that one night. An' when I'm fuckin' your best buddy, you better not be fuckin' my friend."")",0.0387729071080684,-0.7761366963386536
19,"('There is nothing as pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou', ""Ain't nothin' more sad than a young un, all cynical-like 'cause he went from knowin' nothin' to believin' nothin'. - Maya Angelou"")",-0.0652594864368438,-0.7761366963386536
20,"('I am single and ready to mingle, but at the same time I am also ready to settle down', ""I'm all singled out and rarin' to go meet new folks, yet deep down inside I'm also prepared to put down roots and settle on down."")",-0.0577432960271835,-0.7761366963386536
21,"('I know I do but I am finally going to sleep. I am too tired, I have been up since 8 this morning with no sleep or nap.morning with no sleep or nap', ""I knows I does, but I's finally fixin' to hit the hay. I's too tuckered out, I've been up since eight this mornin' with no shut-eye or siesta. mornin' with no shut-eye or siesta."")",0.0562091805040836,-0.7761366963386536
22,"(""I have not been to sleep at all. And I'm not going until my Quat comes later on.my quat comes later on"", ""I ain't been to bed none at all. An' I won't be goin' till my Quat comes later on. My Quat comes later on."")",-0.0045108743943274,-0.8719891309738159
23,"('There are too many people who are not loyal! I need someone who is loyal on my team', ""There's just too many folks around here that ain't loyal! I'm lookin' for somebody real loyal to be part of my team."")",0.0725897103548049,-0.7761366963386536
24,"('Let us give a round of applause to the ladies and gentlemen that are not as tough in personcompared to their personalities on Twitter', ""Let's give a hand to the misses and misters, who ain't as rough in real life as they come across on Twitter."")",0.1314156651496887,-0.7761366963386536
25,"('I often get jealous, mad, worried, and curious, but the only reason is because I love you so much and I do not want to loseyou, more or less', ""I gets real jealous, mad, frettin', and curious, but the only cause is 'cause I loves you plumb to pieces and I don't want to lose you none."")",0.0176261011511087,-0.7761366963386536
26,"(""When Kobe gets the ball, he needs to make one move and go. Don't want for the defense tomake his shot more difficult"", ""When Kobe git himself them ball, he gotta make him one move and scoot on out. Ain't wanna give them defense time to make Kobe's shot harder."")",0.1741330325603485,-0.8719891309738159
27,"(""I really think my kids forgot I had an account. Yes, I'm creeping and not a happy mother.and not a happy mother"", ""I reckon my younguns forgot I even had this here account. Yessiree, I'm snoopin' and far from bein' a contented mama."")",-0.1043490469455719,-0.8719891309738159
28,"(""I just rounded off the last of my kids’ birthdays until June! I'm proud and grateful to God. I don't have much, but wekeep it happy no matter what."", ""I jus' finished up the last of my younguns' birthdays 'til June! Ain't that somethin'? I ain't got much, but we keep it happy an' all. I's proud an' grateful to God fer blessin' me with these here kids."")",-0.2093289047479629,-0.8719891309738159
29,"('Alright, please allow me to get dressed up for the Miguel Album, and please continue to talk about everyone you are notgoing to do while I am gone', ""Alrighty then, lemme go get all dressed up for that Miguel Album of yours. And don't you worry none 'bout what you ain't gonna do while I'm gone."")",0.1090683192014694,-0.7761366963386536
30,"('After \\""Boyz n the Hood\\"" came on, I wonder how many guys tried shedding some tears and being dramatic to get a girlto have sex with them', 'After that ""Boyz n the Hood"" movie come on, I reckon there were plenty a guys tryin\' to act all teary-eyed and dramatic to get themselves a gal to sleep with \'em.')",0.1061894744634628,-0.7761366963386536
31,"('Yes, there is also this black female doctor you need to visit. When i remember Her name, i will send it to you.', ""Yeah, there's another black gal doctor you gotta see. When I recollect her name, I'll be sendin' it your way."")",-0.0465791337192058,-0.7761366963386536
32,"('So he posted a status that said \\""lonely\\"" and a modeljust messaged him', 'He put up a post sayin\' ""feelin\' lonely"" and this here model just hit him up.')",0.0990448370575904,-0.7761366963386536
33,"('The Travel Channel is blowing my mind right now with all of these American fast food delicacies that haveturned up in Asia.', ""The Travel Channel is leavin' me speechless these days, showin' me all these here American quick-eats that folks in Asia have discovered."")",-0.0492151193320751,-0.7761366963386536
34,"('So, big boy is out here like “fuck it, I’m going to hop on all of the tracks 3000 says he is featured onand give you all the remix.', 'So, this big fella is out here actin\' like ""screw it, I\'m gonna get on every single one of them trains that 3000 claims he\'s got a feature on, and I\'ma give y\'all all the remix.""')",-0.187933400273323,-0.7761366963386536
35,"('Yes, I think we should incorporate our outrage in the name, so that thebandit knows we mean business', ""Yeah, I reckon we oughta put our indignation in the name, so that the bandit knows we ain't messin' around."")",0.1075389087200164,-0.7761366963386536
36,"('Atlanta fans might as well clock out.. you already know theending to this story ..', 'Atlanta fans might as well go home early.... you already know how this tale ends up.')",-0.1112141460180282,-0.7761366963386536
37,"('I agree with you. As you know, the Nevas Intro is wasting Google Imaging time, they need for you to stop it', ""I reckon you's right. Now, you might remember that them Nevas Intro be hoggin' up Google Images time, and they'd appreciate it if you'd quit it."")",0.2535004317760467,-0.7761366963386536
38,"(""Is that Oprah interview on right now? Because she's crazy if she thinks wewould miss watching Scandal"", ""Is that Oprah wit' her interview goin' on right now? Cause she's plum nuts if she thinks we'd miss watchin' us some Scandal."")",0.050664983689785,-0.8719891309738159
39,"(""Now, don't be surprised if your woman counts down backwards the next time you say some stupid shit.you say some stupid shit"", ""Now, don't act all shocked if your woman counts down backwards the next time you blabber some dumb stuff.you blabber some dumb stuff"")",-0.05547396838665,-0.8719891309738159
40,"('There are some people who can not accept the truth but they will revisit your tweets in the future whenthey have nothing, so they can acquire the results', ""Some folks just can't stomach the truth, but they'll be comin' back to check out them old tweets of yours in the days ahead when they got nothin'. That's how they roll."")",0.2129788547754287,-0.7761366963386536
41,"(""I am curious to know how much the individual who is in charge  of yhe Obama's Twitter account gets paid"", ""I'm mighty curious 'bout how much that person get paid, who's in charge of Obama's Twitter account."")",0.1057724952697753,-0.8719891309738159
42,"('And he said, \\""My first name is Rod, baby...AJ is a family nickname and it\'s whatI prefer to be calle', 'And he said, ""My name\'s Rod, darlin\'... AJ\'s a familiar name an\' it\'s the one I like be called.""')",0.032899834215641,-0.7761366963386536
43,"(""Which are A) she was a lesbian for 15 years and B) she has an 11 year old,which means she's had sex with a man"", ""A) For fifteen year's back, she identified as a lesbian. B) She's got an eleven year old kid, which implies she's been with a man."")",0.0358046256005764,-0.8719891309738159
44,"(""You still may be able to worship at the altar, I don't think the doors to thechurch are closed just ye"", ""You might still be able to pay yer respects at the altar, but I reckon the church doors ain't completely shut yet."")",-0.1701255440711975,-0.8719891309738159
45,"('Yes, they are still the same just a little more vocal now that we are grown and they Express themselves in speech freely', ""Yessiree, they're the same ol' folks, but now that we're all grown, they go 'head and speak their minds free like."")",0.1503023952245712,-0.7761366963386536
46,"('This broad worked us for an hour straight and did not even give us onewater break. The inhumanity.', ""This here woman worked us somethin' fierce for an hour straight, and didn't even give us a single water break. The lack of humanity."")",0.0524981282651424,-0.7761366963386536
47,"('Frank Ocean can probably fight as he has been training to beat up Chris Brown. Breezy will never liveit down if he happened to lose', ""Frank Ocean reckon he can throw down a fight seeing as how he's been trainin' to whup Chris Brown. Chris Brown ain't gonna forget it if he was the one to lose."")",-0.1019894927740097,-0.7761366963386536
48,"('The first cause is that Frank writes passionate songs about men and the second cause is that Breezy talked badly in his Twitter rantabout Odd Future, but he deleted it', ""The first reason is that Frank composes heartfelt tunes 'bout men. The second reason is that Breezy spoke ill in his Twitter tantrum 'bout Odd Future, but he removed it."")",0.0315765477716922,-0.7761366963386536
49,"('I am not confused about anything as this works for me, but it so happens that my coworkers keep laughingat how small it is', ""I ain't got nothin' mixed up, 'cause this here works for me. But, dang it all, my workmates just can't seem to stop chucklin' at how little it is."")",0.3065179586410522,-0.7761366963386536
50,"('I unfortunately had to take the bigger weights off and accidentally dropped a weight and all theguys came to my aid', ""Sad to say, I had to take off them bigger weights and then, by accident, I dropped one of those weights. Before I knew it, all them guys was over here helpin' me out."")",0.0450086891651153,-0.7761366963386536
51,"('I’m dying laughing. I think I busted a vocal cord laughing so hard. “You Look Horrible Tonight” is the song of the year.', 'I\'m near about dead from laughin\'. I reckon I pulled a muscle in my voice box from laughin\' so hard. ""You Look Horrible Tonight"" is the number one tune this year.')",0.0192709434777498,-0.7761366963386536
52,"('No way, he likes her, and she logs into his phone, even though shedoes not like him', ""No sir, he do like her, and she goes and logs onto his phone, but she just don't care for him herself."")",-0.1033935025334358,-0.7761366963386536
53,"('I walked up to this guy disrespecting a female. I told him I may be a virgin, but I know a pussy when I see one. Why the fuckare you hitting a lady', ""I went up to this here fella disrespecatin' a woman. I told him I might be a virgin, but I know a puss 'fore I sees one. Why in tarnation are you whackin' a lady?"")",-0.0368552803993225,-0.7761366963386536
54,"('If I can’t love you like I’m supposed to and you’d rather get beaten by another person, why be with you? You deserve better.', ""If I can't show you the lovin' I'm s'posed to and you'd rather take a whippin' from another soul, why stick around with ya? You deserve more than that."")",0.13482666015625,-0.7761366963386536
55,"('If I could grow a perfect pair of breasts, they would sit next to my bed.sit next to my bed', ""If I could grow me a fine set of titties, they'd be settin' next to my bed."")",0.0962536633014679,-0.7761366963386536
