,pairs,loss
0,"(""Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-"", ""Manti Te'o was having a relationship via telephone/internet with a man pretending to be female."")",0.023610511794686317
1,"('this lil girl aint going to win im the king of thisshe better fall back ....', 'The little girl is not going to win because i am the king, soshe needs to stop what she is doing')",0.07321029901504517
2,"(""He up stairs rights now and I'm down here getting ready its aboutto go down nite nite"", ""He is upstairs rights now and I'm down here getting ready. It’s aboutto go down. Nite nite."")",0.2992348372936249
3,"(""Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND"", ""Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out"")",0.2828030586242676
4,"(""It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what"", 'It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost')",-0.16358758509159088
5,"('Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em', 'A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them')",0.03713149204850197
6,"('Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3', 'Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks')",-0.09013941884040833
7,"(""Boy you can say anything you wanna I don't give a shit, noone else can have ya"", ""You can say anything you want to, I don't care, noone else can have you"")",-0.033903688192367554
8,"(""3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!"", ""At 3:05, when the bell rings, I'm saying bye to my significant other and running out of PSM. By 3:45, I should be homeThen it's time to part"")",0.014332241378724575
9,"('Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it', ""When you call a person's phone and they don't answer that means they never cared about it.Cared about it"")",-0.09990065544843674
10,"('I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun', 'I do not want to see twerking videos on my timeline because thesepeople do not know how to twerk')",0.00796016026288271
11,"(""that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol"", ""That was supposed to be a tweet but, that was funny.   I don't know how the hell I done thatto you, my bad, it was funny though"")",-0.04264413192868233
